id;predict
196;0
1196;0
2813;0
4385;1
6479;0
6726;1
9178;0
13143;1
13547;1
18483;1
21939;1
22367;0
24652;1
26235;0
26923;1
27565;0
28085;1
29016;0
29405;1
30403;0
30467;1
30916;1
30919;1
31002;0
31266;1
31313;1
31624;0
31766;1
32056;1
34295;1
34521;1
34777;0
38972;0
40009;0
40535;1
42198;0
43460;1
45876;1
47190;1
47192;0
49278;1
50808;0
52800;0
53466;1
54481;0
54913;0
55905;0
57994;0
62713;1
64952;1
69506;1
69617;1
70012;1
70255;1
70259;1
76061;1
76873;1
78043;1
78731;1
79306;0
80719;1
83179;1
85779;1
85906;1
89146;0
89155;1
90162;0
92204;1
92535;0
92944;1
93892;1
95482;0
95776;1
95842;1
97272;1
98373;0
98833;0
98836;1
100485;1
105072;1
108281;1
109220;1
109365;1
112392;0
112977;1
113120;1
113356;0
114972;0
116627;0
117125;0
117399;1
117569;1
117987;1
119786;1
121485;0
125297;0
125400;1
126723;1
126724;1
126967;1
128204;1
131839;1
134356;0
135321;1
137343;0
137362;1
139017;0
139743;1
144098;1
146497;1
152214;1
152597;0
153168;0
153685;0
157209;0
158854;1
159784;1
161205;1
162494;1
165048;0
165984;1
169020;1
169201;1
169817;0
169826;0
170266;1
170872;1
171255;0
173652;0
174577;1
174718;0
174839;0
176718;0
177381;1
180092;0
182821;1
183852;1
184827;0
184938;1
185211;1
188227;0
188270;1
190028;1
192212;1
193157;0
199885;0
200841;1
201539;1
202429;0
202533;0
203061;1
204226;0
209914;1
210320;1
211271;0
212354;1
214703;1
218266;0
221272;0
221651;1
222139;0
222630;0
222803;0
224226;1
225013;0
226665;1
227266;1
227799;0
233057;0
234428;0
236286;1
239686;1
240422;0
240489;0
244252;1
247938;0
248391;1
248523;0
251897;1
252117;0
253723;1
255669;0
255780;1
255895;1
256100;1
256511;0
256566;0
259029;0
260063;1
260260;0
260740;1
262317;1
263728;0
264010;1
264052;1
265577;0
266648;0
266849;1
267566;0
271584;0
